hscode_6,CountryOfOrigin
440111,ALB;KHM;FJI;SEN;THA;VNM
440112,ALB;KHM;FJI;SEN;THA
440121,ALB;KHM;SEN;THA
440122,ALB;KHM;SEN;THA
440131,ALB;KHM;FJI;SEN;THA
440139,ALB;KHM;SEN;THA
440140,ALB;KHM;SEN;THA
440210,ALB;KHM;SEN
440290,ALB;KHM;SEN;VNM
440311,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PNG;PER;LKA;SEN;THA;UKR;VNM
440312,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440320,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440321,ALB;BLR;BRA;BOL;KHM;CMR;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NGA;PAN;PNG;PER;LKA;SEN;UKR;VNM
440322,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PNG;PER;LKA;SEN;UKR;VNM
440323,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PNG;PER;LKA;SEN;THA;UKR;VNM
440324,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PNG;PER;LKA;SEN;THA;UKR;VNM
440325,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PNG;PER;LKA;SEN;THA;UKR;VNM
440326,ALB;BLR;BLZ;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PNG;PER;LKA;SEN;THA;UKR;VNM
440341,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440349,ALB;BLR;BLZ;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MDG;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440391,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440392,ALB;BLR;BRA;BOL;KHM;CMR;CRI;CIV;HRV;ECU;GNQ;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440393,ALB;BLR;BRA;BOL;KHM;CMR;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440394,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440395,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440396,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440397,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440398,ALB;BLR;BOL;KHM;CMR;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;UKR;VNM
